toko_id,Page_URL,Title,Harga,Rating,Review,Alamat,No_Telp,Phone_Numb,Phone_Num,Latitude,Longitude,type,jenis
1161,"https://www.google.com/maps/place/Dimsum+Mbledos/@-7.7551471,110.379338,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a59aaba6351b1:0x790294544bbc4d20!8m2!3d-7.7551471!4d110.379338!16s%2Fg%2F11b6cm4d9r?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Dimsum Mbledos,,4.2,386,"Jl. Pandega Marta No.29, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,"69VH+WP Caturtunggal, Kabupaten Sleman, Daerah Istimewa Yogyakarta","
69VH+WP Caturtunggal, Kabupaten Sleman, Daerah Istimewa Yogyakarta",-7.7551471,110.379338,ringan,dimsum
1162,"https://www.google.com/maps/place/Twisted+Noodle/@-7.7849247,110.3721793,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5831fbd4e609:0x2eab8893f35165a3!8m2!3d-7.7849247!4d110.3721793!16s%2Fg%2F11bbyhtb4y?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Twisted Noodle,Rp 1–25.000,4.5,238,"Jl. Supadi No.3, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",,,,-7.7849247,110.3721793,ringan,dimsum
1163,"https://www.google.com/maps/place/Huma+Dimsum/@-7.7750432,110.3586467,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a591c90e897e1:0xbf325e6f9748e965!8m2!3d-7.7750432!4d110.3586467!16s%2Fg%2F11fhwkwq21?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Huma Dimsum,,4.6,10,"jatimulyo tr 1/677, Kricak, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55242",0878-7847-5644,"69F5+XF Kricak, Kota Yogyakarta, Daerah Istimewa Yogyakarta","
69F5+XF Kricak, Kota Yogyakarta, Daerah Istimewa Yogyakarta",-7.7750432,110.3586467,ringan,dimsum
1164,"https://www.google.com/maps/place/Ono+Dimsum+Jl+Godean/@-7.7782574,110.3373303,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a59fd921f0107:0x8e0ca8530190bbda!8m2!3d-7.7782574!4d110.3373303!16s%2Fg%2F11hf81g_l2?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Ono Dimsum Jl Godean,Rp 1–25.000,4.6,13,"Jl. Ngapak - Kentheng No.km 05, Area Sawah, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55292",0822-1814-1387,,,-7.7782574,110.3373303,ringan,dimsum
1165,"https://www.google.com/maps/place/Pabrik+Dimsum+Jogja+Resto+-+JAKAL/@-7.7340993,110.3932985,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a598d49b9b493:0x6738b41330278b9d!8m2!3d-7.7340993!4d110.3932985!16s%2Fg%2F11w8r7211h?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Pabrik Dimsum Jogja Resto - JAKAL,,4.9,141,"Jl. Damai No.8, Tambakan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",0813-1110-0192,,,-7.7340993,110.3932985,ringan,dimsum
1166,"https://www.google.com/maps/place/Kini+Dimsum+%26+Pangsit+Kuah/@-7.7778492,110.3828868,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a59bf45b95235:0x3fef0a0faf3f4c5!8m2!3d-7.7778492!4d110.3828868!16s%2Fg%2F11fj8gq7gg?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Kini Dimsum & Pangsit Kuah,Rp 1–25.000,5.0,24,"Jl. Samirono CT VI No.127, RT.7/RW.3, Samirono, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",0856-0210-0320,,,-7.7778492,110.3828868,ringan,dimsum
1167,"https://www.google.com/maps/place/Dimsum+Pasar+Kranggan/@-7.7827553,110.3659992,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5938c59b2485:0xd6a371446cd6257a!8m2!3d-7.7827553!4d110.3659992!16s%2Fg%2F11vf159pnp?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Dimsum Pasar Kranggan,,4.3,4,"Jl. Pangeran Diponegoro No.29, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",0896-1610-3275,0896-1610-3275,"
0896-1610-3275",-7.7827553,110.3659992,ringan,dimsum
1168,"https://www.google.com/maps/place/SUPPLIER+DIMSUM+JOGJA+(+MOCIN+DIMSUM+)/@-7.7599936,110.3585247,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a59c4532f77d7:0xf9afa4820740e39a!8m2!3d-7.7599936!4d110.3585247!16s%2Fg%2F11wq_wv0wp?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",SUPPLIER DIMSUM JOGJA ( MOCIN DIMSUM ),,5.0,2,"Kutu Patran, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",0813-3832-1012,"69R5+2C Sinduadi, Kabupaten Sleman, Daerah Istimewa Yogyakarta","
69R5+2C Sinduadi, Kabupaten Sleman, Daerah Istimewa Yogyakarta",-7.7599936,110.3585247,ringan,dimsum
1169,"https://www.google.com/maps/place/Imperial+Kitchen+%26+Dimsum+-+Pakuwon+Mall+Jogja/@-7.7588094,110.3992739,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a598748b5243b:0x215286852e3f2737!8m2!3d-7.7588094!4d110.3992739!16s%2Fg%2F11td9zkylc?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Imperial Kitchen & Dimsum - Pakuwon Mall Jogja,,4.1,540,"Pakuwon Mall Jogja, Jl. Ring Road Utara Lantai 2, Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",0811-8544-212,,,-7.7588094,110.3992739,ringan,dimsum
1170,"https://www.google.com/maps/place/Dimsum+Ayam+21/@-7.7986085,110.3974079,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a577f47936875:0xffd13ba6eb33bf10!8m2!3d-7.7986085!4d110.3974079!16s%2Fg%2F11sj51_jz0?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Dimsum Ayam 21,,5.0,90,"Perum Omah Asasta, Jl. Balirejo Gg. Kartika No.B3, RT.53/RW.06, Muja Muju, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55165",0821-4080-2488,0821-4080-2488,"
0821-4080-2488",-7.7986085,110.3974079,ringan,dimsum
